Folder (Location),Flickr URL,Resolved Image URL,Photo ID,Notes,Folder Slug,Ready,Featured,Project,Species,Full Image URL,Flickr ID,Title,Date Taken,Width,Height,Camera,Lens,Shutter,Aperture,ISO,Focal Length,Exposure Mode,Metering,White Balance,Flash,Publish Status,Category,Homepage Order,Portfolio Order,Alt Text,Caption,Display Title,Description,Date Uploaded,Tags,Orientation,Aspect Ratio
Project: herons,https://www.flickr.com/photos/204244048@N05/55267648392/,https://live.staticflickr.com/65535/55267648392_f20c890bff_m.jpg,11,,herons,Yes,true,herons,Ardea herodias,https://live.staticflickr.com/65535/55267648392_f20c890bff_b.jpg,55267648392,BrandonAlleyPhotography_untitled shoot_2026050939.jpg,2026-05-09 13:55:37,683,1024,Canon EOS R100,RF50mm F1.8 STM,1/1600,f/1.8,100,50.0 mm,Auto,Multi-segment,Auto,"Flash (off, did not fire)",Published,herons,,,Great Blue Heron,Great Blue Heron,BrandonAlleyPhotography_untitled shoot_2026050939.jpg,,,,Portrait,683:1024
Project: herons,https://www.flickr.com/photos/204244048@N05/55269065449/,https://live.staticflickr.com/65535/55269065449_aafc10cc7a_m.jpg,12,,herons,Yes,true,herons,Egretta thula,https://live.staticflickr.com/65535/55269065449_aafc10cc7a_b.jpg,55269065449,BrandonAlleyPhotography-4652,2026-04-08 10:47:48,1024,683,Canon EOS R100,,1/4000,,400,,Auto,Multi-segment,Auto,"Flash (off, did not fire)",Published,herons,,,Snowy Egret,Snowy Egret,BrandonAlleyPhotography-4652,,,,Landscape,1024:683
Project: herons,https://www.flickr.com/photos/204244048@N05/55249900291/,https://live.staticflickr.com/65535/55249900291_eb9c82c3df_m.jpg,13,,herons,Yes,true,herons,Ardea alba,https://live.staticflickr.com/65535/55249900291_eb9c82c3df_b.jpg,55249900291,BrandonAlleyPhotography-4347.jpg,2026-04-08 10:26:44,1024,683,Canon EOS R100,RF-S18-45mm F4.5-6.3 IS STM,1/1600,f/6.3,100,45.0 mm,Auto,Multi-segment,Auto,"Flash (off, did not fire)",Published,herons,,,Great Egret,Great Egret,BrandonAlleyPhotography-4347.jpg,,,,Landscape,1024:683
Unassigned,https://www.flickr.com/photos/204244048@N05/55249990758/,https://live.staticflickr.com/65535/55249990758_8bf1386914_m.jpg,14,,,Yes,true,,,https://live.staticflickr.com/65535/55249990758_8bf1386914_b.jpg,55249990758,BrandonAlleyPhotography_untitled shoot_20260423170.jpg,2026-04-23 16:28:08,1024,683,Canon EOS R100,RF50mm F1.8 STM,1/320,f/2.8,100,50.0 mm,Auto,Multi-segment,Auto,"Flash (off, did not fire)",Published,,,,Photography by Brandon Alley,Photography by Brandon Alley,BrandonAlleyPhotography_untitled shoot_20260423170.jpg,,,,Landscape,1024:683
Unassigned,https://www.flickr.com/photos/204244048@N05/55249847956/,https://live.staticflickr.com/65535/55249847956_9420a2b4ba_m.jpg,15,,,Yes,true,,,https://live.staticflickr.com/65535/55249847956_9420a2b4ba_b.jpg,55249847956,BrandonAlleyPhotography_untitled shoot_20260423278.jpg,2026-04-23 16:59:15,1024,683,Canon EOS R100,,1/800,,100,,Auto,Multi-segment,Auto,"Flash (off, did not fire)",Published,,,,Photography by Brandon Alley,Photography by Brandon Alley,BrandonAlleyPhotography_untitled shoot_20260423278.jpg,,,,Landscape,1024:683
Unassigned,https://www.flickr.com/photos/204244048@N05/55225222323/,https://live.staticflickr.com/65535/55225222323_4a86a6f175_m.jpg,16,,,Yes,true,,,https://live.staticflickr.com/65535/55225222323_4a86a6f175_b.jpg,55225222323,BrandonAlleyPhotography_Jae&SandraVowRenewal_20260418248.jpg,2026-04-18 16:55:48,731,1024,Canon EOS R100,RF-S18-45mm F4.5-6.3 IS STM,1/125,f/6.3,100,35.0 mm,Auto,Multi-segment,Auto,"Flash (off, did not fire)",Published,,,,Jae & Sandra Vow Renewal,Jae & Sandra Vow Renewal,BrandonAlleyPhotography_Jae&SandraVowRenewal_20260418248.jpg,,,,Portrait,731:1024
Project: herons,https://www.flickr.com/photos/204244048@N05/55201917211/,https://live.staticflickr.com/65535/55201917211_89fd523944_m.jpg,17,,herons,Yes,true,herons,Egretta thula,https://live.staticflickr.com/65535/55201917211_89fd523944_b.jpg,55201917211,AlleyPhotography_IMG_4647-Edit.jpg,2026-04-08 10:47:25,1024,683,Canon EOS R100,,1/4000,,400,,Auto,Multi-segment,Auto,"Flash (off, did not fire)",Published,herons,,,Snowy Egret,Snowy Egret,AlleyPhotography_IMG_4647-Edit.jpg,,,,Landscape,1024:683
Unassigned,https://www.flickr.com/photos/204244048@N05/55198152423/,https://live.staticflickr.com/65535/55198152423_a55f5c0f74_m.jpg,18,,,Yes,true,,,https://live.staticflickr.com/65535/55198152423_a55f5c0f74_b.jpg,55198152423,AlleyPhotography_IMG_4568.jpg,2026-04-08 10:42:09,1024,683,Canon EOS R100,,1/125,,100,,Auto,Multi-segment,Auto,"Flash (off, did not fire)",Published,,,,Photography by Brandon Alley,Photography by Brandon Alley,AlleyPhotography_IMG_4568.jpg,,,,Landscape,1024:683
Unassigned,https://www.flickr.com/photos/204244048@N05/55198253354/,https://live.staticflickr.com/65535/55198253354_35cd84e9f9_m.jpg,19,,,Yes,true,,,https://live.staticflickr.com/65535/55198253354_35cd84e9f9_b.jpg,55198253354,AlleyPhotography_IMG_4295.jpg,2026-04-08 10:10:06,1024,683,Canon EOS R100,,1/800,,100,,Auto,Multi-segment,Auto,"Flash (off, did not fire)",Published,,,,Photography by Brandon Alley,Photography by Brandon Alley,AlleyPhotography_IMG_4295.jpg,,,,Landscape,1024:683
Unassigned,https://www.flickr.com/photos/204244048@N05/55197113802/,https://live.staticflickr.com/65535/55197113802_cb0715fa72_m.jpg,20,,,Yes,true,,,https://live.staticflickr.com/65535/55197113802_cb0715fa72_b.jpg,55197113802,AlleyPhotography_IMG_4197.jpg,2026-04-08 10:02:36,1024,683,Canon EOS R100,,1/4000,,100,,Auto,Multi-segment,Auto,"Flash (off, did not fire)",Published,,,,Photography by Brandon Alley,Photography by Brandon Alley,AlleyPhotography_IMG_4197.jpg,,,,Landscape,1024:683
